               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.094377,             0.16052,            0.025882,             0.40698,               0.315,             0.30007,             0.15972,            0.090984,             0.22269,            0.030543,            0.008812,            0.008812,            0.008812
                  38,            0.094291,              0.1608,            0.026246,             0.41745,             0.31421,             0.30204,             0.16085,            0.090873,             0.22271,            0.030378,            0.008779,            0.008779,            0.008779
                  39,            0.094372,             0.16193,             0.02593,             0.40328,             0.31584,             0.30607,             0.16159,            0.090772,             0.22309,            0.030269,            0.008746,            0.008746,            0.008746
                  40,            0.094412,             0.16142,            0.026128,             0.40655,             0.31927,             0.30483,             0.16169,            0.090801,             0.22308,            0.030339,            0.008713,            0.008713,            0.008713
                  41,            0.094098,             0.15993,            0.025733,             0.42083,               0.315,             0.30811,             0.16433,            0.090742,             0.22261,             0.03029,             0.00868,             0.00868,             0.00868
                  42,            0.094035,             0.16167,            0.025575,              0.4048,             0.32299,             0.30696,             0.16384,            0.090692,             0.22239,            0.030288,            0.008647,            0.008647,            0.008647
                  43,            0.094189,             0.16096,            0.025697,             0.40891,             0.31747,             0.30815,             0.16422,            0.090646,             0.22244,            0.030089,            0.008614,            0.008614,            0.008614
                  44,            0.093931,             0.15976,            0.025715,             0.42128,             0.31776,             0.31045,             0.16488,            0.090554,             0.22216,            0.030098,            0.008581,            0.008581,            0.008581
                  45,            0.094006,             0.16002,            0.025554,             0.42465,             0.31519,             0.31077,             0.16685,            0.090503,             0.22226,            0.030081,            0.008548,            0.008548,            0.008548
                  46,            0.093697,             0.15843,            0.025608,             0.41228,             0.31908,             0.30933,             0.16563,            0.090488,              0.2224,            0.030099,            0.008515,            0.008515,            0.008515
                  47,            0.093663,              0.1591,            0.025465,             0.42049,             0.32504,             0.31255,             0.16724,            0.090501,             0.22229,            0.030015,            0.008482,            0.008482,            0.008482
                  48,            0.093758,             0.15842,            0.025437,               0.424,             0.32431,             0.31312,             0.16788,            0.090438,             0.22156,            0.029909,            0.008449,            0.008449,            0.008449
                  49,            0.093608,             0.15983,            0.025419,             0.42272,             0.32093,             0.31062,             0.16625,            0.090469,             0.22226,            0.029896,            0.008416,            0.008416,            0.008416
                  50,            0.093585,             0.15855,              0.0252,              0.4238,             0.32135,             0.31227,             0.16791,            0.090467,             0.22236,            0.029991,            0.008383,            0.008383,            0.008383
